agent_id,agent_age,agent_tenure,agent_status,agent_active_portfolio,agent_inactive_portfolio,time_stamp
AG_08346231,40.0,10,active,53.0,52.0,2017-01-31
AG_06776450,50.0,7,active,58.0,55.0,2017-01-31
AG_04703674,55.0,10,active,81.0,61.0,2017-01-31
AG_03793197,35.0,8,active,99.0,61.0,2017-01-31
AG_07126385,40.0,9,active,96.0,59.0,2017-01-31
AG_05176011,30.0,2,active,117.0,64.0,2017-01-31
AG_09467707,25.0,0,active,57.0,51.0,2017-01-31
AG_01234487,45.0,1,active,236.0,73.0,2017-01-31
AG_02659765,45.0,8,active,149.0,190.0,2017-01-31
AG_09269427,30.0,3,active,87.0,94.0,2017-01-31
AG_02803924,50.0,15,active,51.0,58.0,2017-01-31
AG_02365968,30.0,1,active,104.0,52.0,2017-01-31
AG_02710876,40.0,8,active,62.0,50.0,2017-01-31
AG_07807790,55.0,2,inactive,63.0,50.0,2017-01-31
AG_01094559,30.0,0,active,55.0,52.0,2017-01-31
AG_04678145,50.0,2,active,83.0,55.0,2017-01-31
AG_02234466,35.0,8,active,80.0,52.0,2017-01-31
AG_00658627,25.0,2,active,61.0,52.0,2017-01-31
AG_07273851,30.0,1,active,52.0,51.0,2017-01-31
AG_06014298,35.0,1,active,83.0,54.0,2017-01-31
AG_00836253,35.0,3,active,51.0,50.0,2017-01-31
AG_07819791,40.0,0,active,55.0,50.0,2017-01-31
AG_04596269,40.0,1,active,61.0,51.0,2017-01-31
AG_07023456,40.0,6,active,59.0,51.0,2017-01-31
AG_00356535,55.0,3,active,55.0,52.0,2017-01-31
AG_08138067,30.0,0,active,52.0,50.0,2017-01-31
AG_07510242,30.0,4,active,89.0,55.0,2017-01-31
AG_07380298,45.0,5,active,123.0,79.0,2017-01-31
AG_06907900,50.0,11,active,79.0,62.0,2017-01-31
AG_02762380,35.0,1,active,127.0,53.0,2017-01-31
AG_00459181,35.0,4,active,113.0,53.0,2017-01-31
AG_09233913,-0.0,16,active,52.0,60.0,2017-01-31
AG_04536342,35.0,5,active,190.0,102.0,2017-01-31
AG_05679463,40.0,5,active,189.0,94.0,2017-01-31
AG_04772520,65.0,0,active,57.0,50.0,2017-01-31
AG_01857849,35.0,2,active,91.0,54.0,2017-01-31
AG_00992373,35.0,1,active,129.0,57.0,2017-01-31
AG_06320178,30.0,2,inactive,77.0,68.0,2017-01-31
AG_04367335,30.0,2,active,194.0,60.0,2017-01-31
AG_06689295,30.0,3,active,64.0,51.0,2017-01-31
AG_09941415,35.0,3,active,59.0,52.0,2017-01-31
AG_00427586,40.0,8,active,100.0,138.0,2017-01-31
AG_03202502,45.0,5,active,71.0,57.0,2017-01-31
AG_05618534,40.0,11,active,90.0,62.0,2017-01-31
AG_07379234,30.0,0,active,60.0,52.0,2017-01-31
AG_05439847,55.0,12,active,58.0,54.0,2017-01-31
AG_02100486,40.0,11,active,71.0,56.0,2017-01-31
AG_09077587,35.0,3,active,52.0,50.0,2017-01-31
AG_07028491,50.0,14,active,89.0,68.0,2017-01-31
