policy_id,customer_id,agent_id,last_payment_dt,policy_issue_dt,sum_assured,policy_premium,nb_riders,rider_premium,time_stamp_x,last_termination_dt,time_stamp_y,customer_marital_cd,customer_age,customer_social_group,customer_income,customer_additional_products,time_stamp_x,agent_age,agent_tenure,agent_active_portfolio,agent_inactive_portfolio,time_stamp_y,contact_channel_broker,contact_channel_direct,contact_channel_partnership,product_code_BP_00170090,product_code_BP_00334803,product_code_BP_00479053,product_code_BP_01087308,product_code_BP_01127451,product_code_BP_01183560,product_code_BP_01260044,product_code_BP_01308135,product_code_BP_01653768,product_code_BP_01817929,product_code_BP_01976597,product_code_BP_02048854,product_code_BP_02051691,product_code_BP_02392541,product_code_BP_02399030,product_code_BP_02483900,product_code_BP_02602657,product_code_BP_02713903,product_code_BP_03569413,product_code_BP_03610818,product_code_BP_03740581,product_code_BP_03765630,product_code_BP_03919759,product_code_BP_03922794,product_code_BP_04023598,product_code_BP_04044020,product_code_BP_04229248,product_code_BP_04345985,product_code_BP_04399222,product_code_BP_04624090,product_code_BP_04707731,product_code_BP_04904952,product_code_BP_05169954,product_code_BP_05367939,product_code_BP_05538098,product_code_BP_06134513,product_code_BP_06342177,product_code_BP_06646153,product_code_BP_06758239,product_code_BP_07119562,product_code_BP_07570704,product_code_BP_07665809,product_code_BP_07668115,product_code_BP_07897771,product_code_BP_08252793,product_code_BP_08384630,product_code_BP_08525135,product_code_BP_09034941,product_code_BP_09208081,product_code_BP_09391664,product_code_BP_09426101,product_code_BP_09740724,product_code_BP_09825120,product_code_BP_09828249,policy_status_cd_B,last_policy_status_cancelled,customer_origin_new,customer_gender_F,customer_gender_M,agent_status_inactive
P_09999136,C_09808525,AG_03198874,2016-09-30,2015-08-31,1252000.0,1500.0,1.0,1100.0,2017-01-31,,2018-01-31,1,45.0,6.0,70000.0,1,2017-01-31,30.0,1,89.0,61.0,2017-01-31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P_02981391,C_06258316,AG_03198874,2016-09-30,2015-08-31,1252000.0,1600.0,1.0,1100.0,2017-01-31,,2018-01-31,1,45.0,6.0,80000.0,1,2017-01-31,30.0,1,89.0,61.0,2017-01-31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P_09997871,C_07900045,AG_05276714,2016-12-31,2016-12-31,1072000.0,2200.0,2.0,1600.0,2017-01-31,2017-03-31,2018-01-31,1,55.0,1.0,90000.0,1,2017-01-31,30.0,3,93.0,79.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
P_06184065,C_01905919,AG_05276714,2016-12-31,2013-12-31,1360000.0,1500.0,2.0,1300.0,2017-01-31,,2018-01-31,1,30.0,7.0,60000.0,2,2017-01-31,30.0,3,93.0,79.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P_09997185,C_01035799,AG_04302485,2016-04-30,2015-04-30,1274000.0,1700.0,2.0,1300.0,2017-01-31,,2018-01-31,2,40.0,3.0,150000.0,2,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P_06710849,C_01035799,AG_04302485,2016-04-30,2015-04-30,1324000.0,3200.0,2.0,2300.0,2017-01-31,,2018-01-31,2,40.0,3.0,150000.0,2,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
P_09630838,C_03655333,AG_04302485,2016-11-30,2015-11-30,1202000.0,2200.0,2.0,1800.0,2017-01-31,,2018-01-31,2,40.0,1.0,65000.0,3,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P_02991276,C_03655333,AG_04302485,2016-11-30,2015-11-30,1072000.0,1300.0,2.0,1200.0,2017-01-31,,2018-01-31,2,40.0,1.0,65000.0,3,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
P_08858691,C_02340311,AG_04302485,2016-05-31,2016-05-31,1504000.0,8000.0,2.0,6600.0,2017-01-31,,2018-01-31,2,55.0,6.0,215000.0,1,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
P_08831042,C_01294252,AG_04302485,2016-10-31,2014-09-30,1360000.0,1500.0,1.0,1100.0,2017-01-31,,2018-01-31,1,35.0,1.0,50000.0,2,2017-01-31,50.0,2,176.0,55.0,2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
