policy_id,last_policy_status,last_termination_dt,time_stamp
P_05362503,active,,2018-01-31
P_05784548,cancelled,2017-08-31,2018-01-31
P_02113832,active,,2018-01-31
P_01777448,active,,2018-01-31
P_00703708,active,,2018-01-31
P_07052587,active,,2018-01-31
P_00283474,active,,2018-01-31
P_05294607,active,,2018-01-31
P_02765857,active,,2018-01-31
P_07123230,cancelled,2017-07-31,2018-01-31
P_02750305,active,,2018-01-31
P_04988525,active,,2018-01-31
P_03562149,active,,2018-01-31
P_01809321,cancelled,2018-01-31,2018-01-31
P_07637267,active,,2018-01-31
P_09776289,active,,2018-01-31
P_02411116,cancelled,,2018-01-31
P_08050757,active,,2018-01-31
P_03320383,active,,2018-01-31
P_03965933,active,,2018-01-31
P_01759899,active,,2018-01-31
P_07060567,active,,2018-01-31
P_03309466,cancelled,2017-03-31,2018-01-31
P_03246613,active,,2018-01-31
P_07196812,cancelled,2017-10-31,2018-01-31
P_06633530,active,,2018-01-31
P_05868716,active,,2018-01-31
P_09356721,active,,2018-01-31
P_05220197,active,,2018-01-31
P_04065644,active,,2018-01-31
P_03379449,active,,2018-01-31
P_02965726,active,,2018-01-31
P_04752017,active,,2018-01-31
P_04349666,cancelled,2017-09-30,2018-01-31
P_09007660,active,,2018-01-31
P_05324190,active,,2018-01-31
P_07006523,active,,2018-01-31
P_06946706,active,,2018-01-31
P_01984083,cancelled,2017-07-31,2018-01-31
P_02947148,active,,2018-01-31
P_02474932,active,,2018-01-31
P_04853431,active,,2018-01-31
P_03591128,active,,2018-01-31
P_03382955,active,,2018-01-31
P_02770624,cancelled,2017-07-31,2018-01-31
P_06952325,active,,2018-01-31
P_01584499,active,,2018-01-31
P_03846278,active,,2018-01-31
P_02956785,active,,2018-01-31
P_09615316,cancelled,2017-12-31,2018-01-31
P_01968635,active,,2018-01-31
P_09750042,active,,2018-01-31
P_03507432,active,,2018-01-31
P_00816894,cancelled,,2018-01-31
P_06578083,active,,2018-01-31
P_00586666,active,,2018-01-31
P_06999731,cancelled,2017-04-30,2018-01-31
P_08189088,active,,2018-01-31
P_06426863,active,,2018-01-31
P_03140003,active,,2018-01-31
P_00747077,active,,2018-01-31
P_03377164,active,,2018-01-31
P_07810825,active,,2018-01-31
P_09797785,cancelled,2017-08-31,2018-01-31
P_05023186,active,,2018-01-31
P_09327296,active,,2018-01-31
P_01732421,active,,2018-01-31
P_09263124,active,,2018-01-31
P_04456331,active,,2018-01-31
P_07167441,active,,2018-01-31
P_09959218,active,,2018-01-31
P_05632261,active,,2018-01-31
P_04127643,active,,2018-01-31
P_07451686,active,,2018-01-31
P_07884641,active,,2018-01-31
P_06394249,active,,2018-01-31
P_09828618,active,,2018-01-31
P_08433470,active,,2018-01-31
P_02054188,active,,2018-01-31
P_02952523,active,,2018-01-31
P_03237955,active,,2018-01-31
P_09910714,active,,2018-01-31
P_02293293,active,,2018-01-31
P_09759760,active,,2018-01-31
P_05814924,active,,2018-01-31
P_07186698,active,,2018-01-31
P_00877598,active,,2018-01-31
P_02971429,active,,2018-01-31
P_03138608,active,,2018-01-31
P_07300998,active,,2018-01-31
P_05194024,active,,2018-01-31
P_00578017,active,,2018-01-31
P_01126231,active,,2018-01-31
P_06568022,active,,2018-01-31
P_03164285,active,,2018-01-31
P_07655160,active,,2018-01-31
P_09238632,active,,2018-01-31
P_07337795,active,,2018-01-31
P_01385785,active,,2018-01-31
P_07606003,active,,2018-01-31
P_02124004,cancelled,2017-09-30,2018-01-31
P_09232151,active,,2018-01-31
P_08755607,cancelled,2017-07-31,2018-01-31
P_08838977,active,,2018-01-31
P_00468466,cancelled,2017-02-28,2018-01-31
P_05693038,active,,2018-01-31
P_09324500,cancelled,2017-10-31,2018-01-31
P_09642257,cancelled,2017-12-31,2018-01-31
P_01363040,active,,2018-01-31
P_08883068,active,,2018-01-31
P_06063715,active,,2018-01-31
P_05028596,active,,2018-01-31
P_07378008,active,,2018-01-31
P_02111511,active,,2018-01-31
P_02388738,active,,2018-01-31
P_03954618,active,,2018-01-31
P_09625366,active,,2018-01-31
P_03702282,active,,2018-01-31
P_09392219,active,,2018-01-31
P_06002957,cancelled,2017-08-31,2018-01-31
P_09367004,cancelled,2017-07-31,2018-01-31
P_02113114,active,,2018-01-31
P_07378307,cancelled,2017-04-30,2018-01-31
P_04383076,active,,2018-01-31
P_03448087,active,,2018-01-31
P_09455636,active,,2018-01-31
P_03035150,active,,2018-01-31
P_07567877,active,,2018-01-31
P_04684993,active,,2018-01-31
P_06889269,cancelled,2018-01-31,2018-01-31
P_02252315,active,,2018-01-31
P_01929865,active,,2018-01-31
P_07606297,active,,2018-01-31
P_08376152,active,,2018-01-31
P_07574353,active,,2018-01-31
P_03841323,active,,2018-01-31
P_09463312,active,,2018-01-31
P_05687298,active,,2018-01-31
P_08957454,cancelled,2017-11-30,2018-01-31
P_02197418,active,,2018-01-31
P_05710356,active,,2018-01-31
P_04076318,active,,2018-01-31
P_05795920,active,,2018-01-31
P_08298255,active,,2018-01-31
P_06488159,active,,2018-01-31
P_04691721,active,,2018-01-31
P_01934040,active,,2018-01-31
P_04441394,active,,2018-01-31
P_04037365,active,,2018-01-31
P_03280331,active,,2018-01-31
P_05606263,active,,2018-01-31
P_04992668,cancelled,2017-05-31,2018-01-31
P_09458816,active,,2018-01-31
P_02993742,cancelled,2017-07-31,2018-01-31
P_04129428,active,,2018-01-31
P_04477866,active,,2018-01-31
P_06747605,active,,2018-01-31
P_01435126,active,,2018-01-31
P_04052008,active,,2018-01-31
P_06479212,active,,2018-01-31
P_03624171,active,,2018-01-31
P_08883823,active,,2018-01-31
P_07451035,active,,2018-01-31
P_04728800,active,,2018-01-31
P_03846854,active,,2018-01-31
P_04630387,active,,2018-01-31
P_00222623,active,,2018-01-31
P_05247622,active,,2018-01-31
P_06909157,active,,2018-01-31
P_09951459,cancelled,2017-08-31,2018-01-31
P_01008228,active,,2018-01-31
P_03619868,active,,2018-01-31
P_04198961,active,,2018-01-31
P_07272550,active,,2018-01-31
P_03591716,active,,2018-01-31
P_05206351,active,,2018-01-31
P_02978409,active,,2018-01-31
P_04702246,active,,2018-01-31
P_04356929,active,,2018-01-31
P_04397833,active,,2018-01-31
P_03643195,active,,2018-01-31
P_03890747,active,,2018-01-31
P_06601698,active,,2018-01-31
P_05974716,active,,2018-01-31
P_01383834,active,,2018-01-31
P_01708146,cancelled,2017-12-31,2018-01-31
P_04303691,active,,2018-01-31
P_06278165,cancelled,2017-04-30,2018-01-31
P_08110068,cancelled,2017-02-28,2018-01-31
P_01948469,cancelled,2017-12-31,2018-01-31
P_03300794,active,,2018-01-31
P_00193847,active,,2018-01-31
P_00998769,active,,2018-01-31
P_04561287,active,,2018-01-31
P_00446154,active,,2018-01-31
P_03102235,active,,2018-01-31
P_08858691,active,,2018-01-31
P_07134200,active,,2018-01-31
P_04779629,active,,2018-01-31
P_06344392,active,,2018-01-31
P_07048056,cancelled,2017-09-30,2018-01-31
P_07914631,active,,2018-01-31
P_07430235,active,,2018-01-31
P_08614350,active,,2018-01-31
P_04617232,active,,2018-01-31
P_01611040,active,,2018-01-31
P_01425874,active,,2018-01-31
P_00809468,active,,2018-01-31
P_02229208,cancelled,2017-11-30,2018-01-31
P_05538196,active,,2018-01-31
P_04090447,cancelled,2017-06-30,2018-01-31
P_07981969,active,,2018-01-31
P_07826579,active,,2018-01-31
P_04348041,cancelled,2017-08-31,2018-01-31
P_03624857,active,,2018-01-31
P_02336658,cancelled,2017-12-31,2018-01-31
P_00533786,active,,2018-01-31
P_04330754,active,,2018-01-31
P_06161518,active,,2018-01-31
P_00641621,active,,2018-01-31
P_09394643,cancelled,2017-07-31,2018-01-31
P_01778437,active,,2018-01-31
P_08472303,cancelled,2017-07-31,2018-01-31
P_08028763,active,,2018-01-31
P_04100240,active,,2018-01-31
P_06576540,active,,2018-01-31
P_02868383,active,,2018-01-31
P_06461528,active,,2018-01-31
P_02512151,active,,2018-01-31
P_07247634,active,,2018-01-31
P_07590591,active,,2018-01-31
P_08573875,active,,2018-01-31
P_03265750,active,,2018-01-31
P_06579845,active,,2018-01-31
P_07448809,cancelled,2017-03-31,2018-01-31
P_08202404,active,,2018-01-31
P_05871630,active,,2018-01-31
P_08495395,active,,2018-01-31
P_00194076,active,,2018-01-31
P_09262874,active,,2018-01-31
P_02267734,active,,2018-01-31
P_01125628,active,,2018-01-31
P_01656509,active,,2018-01-31
P_07901783,active,,2018-01-31
P_09198298,active,,2018-01-31
P_02584757,active,,2018-01-31
P_02646865,active,,2018-01-31
P_03590891,active,,2018-01-31
P_06614533,active,,2018-01-31
P_08730839,active,,2018-01-31
P_00819430,active,,2018-01-31
P_07482128,active,,2018-01-31
P_06139206,active,,2018-01-31
P_07278581,active,,2018-01-31
P_08287723,active,,2018-01-31
P_02576076,active,,2018-01-31
P_09121453,active,,2018-01-31
P_02710595,active,,2018-01-31
P_05123413,cancelled,2017-10-31,2018-01-31
P_03517018,cancelled,2017-05-31,2018-01-31
P_00100767,active,,2018-01-31
P_00690549,active,,2018-01-31
P_07031248,active,,2018-01-31
P_04386130,active,,2018-01-31
P_06849684,cancelled,2017-03-31,2018-01-31
P_04641948,active,,2018-01-31
P_04704943,cancelled,2017-05-31,2018-01-31
P_02462861,active,,2018-01-31
